,Image Name,Best Value,Local Size
0,imagen64x64.jpg,5.12e-06,"[(2, 2), (4, 32), (8, 16)]"
1,imagen128x128.jpg,5.12e-06,"[(2, 64), (4, 32), (1, 128)]"
2,imagen640x480.jpg,1.1936e-05,"[(1, 128)]"
3,imagen800x600.jpg,1.6384e-05,"[(4, 32)]"
4,imagen720x1280.jpg,3.9712e-05,"[(8, 16)]"
5,imagen1920x1080.jpg,4.9472e-05,"[(1, 128)]"
6,imagen2160x3840.jpg,0.000269312,"[(8, 16)]"
7,imagen8000x6000.jpg,0.000992256,"[(2, 64)]"
